HSISID,Name,Address1,Address2,City,State,PostalCode,PhoneNumber,RestaurantOpenDate,FacilityType,permitID,Latitude,Longitude,MatchType,MatchScore,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,CensusCbsaFips,CensusCbsaMicro,CensusMcdFips,CensusMetDivFips,CensusMsaFips,CensusPlaceFips
4092011278,Hardees #1638,403 S Main St,,ROLESVILLE,NC,27571-9664,(919) 554-2720,5/7/1993,Restaurant,3,35.9181621,-78.4649039,Relaxed,97.33727811,2010,2,542.1,183,37,39580,0,93880,,6640,57640
4092011649,Dannys Barbecue #2,311 ASHEVILLE AVE,,CARY,NC,27511-6668,(919) 851-5541,3/1/1995,Restaurant,9,35.7379062,-78.7849376,Relaxed;Soundex,94.37869822,1016,1,535.09,183,37,39580,0,90536,,480,
4092160041,Rex Nursing Care Of Apex Food Service,911 S Hughes St,,APEX,NC,27502,(919) 363-6011,6/17/2003,Institutional Food Service,16,35.7191016,-78.8474042,Exact,100,1035,1,534.17,183,37,39580,0,93984,,480,
4092013864,Moe`s Southwest Grill,6679 Falls Of Neuse RD,,RALEIGH,NC,27615,(919) 846-9274,7/29/2003,Restaurant,17,35.8739669,-78.6244494,Relaxed,97.33727811,1008,1,540.06,183,37,39580,0,91548,,480,
4092014006,Subway #28785,10450-101 Durant Rd,,RALEIGH,NC,27614,(919) 844-1207,3/25/2004,Restaurant,18,35.90512151,-78.58889178,Exact,100,1050,1,540.13,183,37,39580,0,92228,,480,
4092020819,Papa John's Pizza #1406,109 Vandora Springs RD,,GARNER,NC,27529,(919) 661-0707,10/31/1997,Food Stand,20,35.7117173,-78.6202972,Relaxed,97.33727811,2031,2,528.03,183,37,39580,0,92788,,480,
4092110136,FUQUAY-VARINA Middle Sch. Cafet.,109 N Ennis St,,FUQUAY-VARINA,NC,27526,(919) 557-2750,4/30/1986,Public School Lunchrooms,24,35.5864326,-78.7938726,Exact,100,2011,2,531.07,183,37,39580,0,92056,,480,
4092011929,Las Margaritas,111 S WHITE ST,,WAKE FOREST,NC,27587-2739,(919) 556-8319,9/13/1996,Restaurant,27,35.9788851,-78.5092467,Relaxed,97.33727811,1011,1,542.05,183,37,39580,0,93880,,480,
4092011170,OUTBACK STEAKHOUSE #3443,1289 KILDAIRE FARM RD,,CARY,NC,27511-5523,(919) 460-1770,10/30/1992,Restaurant,32,35.7627371,-78.7821312,Relaxed,97.33727811,3005,3,535.06,183,37,39580,0,90536,,480,
4092013462,Paolo's,101 - 500 Keybridge St,,MORRISVILLE,NC,27560,(919) 678-9030,11/26/2001,Restaurant,35,35.825795,-78.836037,Exact,100,1008,1,536.07,183,37,39580,0,90576,,480,
4092012172,Courtney`s,407 E Six Forks Rd,,RALEIGH,NC,27609-7829,(919) 834-3613,12/2/1997,Restaurant,77,35.8203933,-78.6246645,Relaxed,97.33727811,3010,3,527.01,183,37,39580,0,92612,,480,
4092010549,The Peddler Steak House,6005 GLENWOOD AVE,,RALEIGH,NC,27612-2636,(919) 787-6980,5/13/1991,Restaurant,81,35.8541088,-78.7015698,Exact,100,2016,2,525.07,183,37,39580,0,91548,,480,
4092021091,BJ`s Warehouse Club #123 (Foodstand - MM Area),8811 Brier Creek Pky,,RALEIGH,NC,27616,(919) 806-5000,9/7/2001,Food Stand,104,35.9015491,-78.7875306,Relaxed,97.33727811,2002,2,536.1,183,37,39580,0,90576,,480,
4092110115,Wakefield Elementary Cafeteria,2400 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3565,6/30/1999,Public School Lunchrooms,114,35.94828095,-78.56828473,Exact,100,1102,1,542.07,183,37,39580,0,93880,,480,
4092110078,Zebulon Middle School Cafeteria,1000 SHEPARD SCHOOL RD,,ZEBULON,NC,27597-2770,(919) 404-3642,10/28/1991,Public School Lunchrooms,124,35.8315036,-78.3117555,Relaxed,97.33727811,2033,2,543.02,183,37,39580,0,91868,,6640,76220
