"Website","Address","Type","RestaurantName","Menu1","Menu2","Menu3","PriceRange","Telphone","Star_rating","CurrentPage"
"simpletwistnc.com","5638 Hwy 42Ste 212Garner, NC 27529","American (New),                    Breakfast & Brunch,                    Cocktail Bars","Simple Twist Cafe & Bar",,,,"$11-30","(919) 661-5566","4.5","https://www.yelp.com/biz/simple-twist-cafe-and-bar-garner?osq=Restaurants"
"alexanderscuisine.com","263 Timber DrGarner, NC 27529","Mediterranean,                    Greek,                    Breakfast & Brunch","Alexander's Mediterranean Cuisine",,,,"$11-30","(919) 779-1183","4.5","https://www.yelp.com/biz/alexanders-mediterranean-cuisine-garner?osq=Restaurants"
"famoustoastery.com","Eagle Wing WayGarner, NC 27529","Breakfast & Brunch","Famous Toastery",,,,"$11-30","(984) 200-5911","3.0","https://www.yelp.com/biz/famous-toastery-garner?osq=Restaurants"
"citybbq.com","110 Cabela DrGarner, NC 27529","Barbeque","City Barbeque",,,,"$11-30","(919) 258-2009","4.0","https://www.yelp.com/biz/city-barbeque-garner?osq=Restaurants"
"angiesrestaurant.com","1340 W Garner RdGarner, NC 27529","Breakfast & Brunch","Angie's Restaurant","Angie's Big Country Omelet",,"Grilled Chicken","Under $10","(919) 661-6707","4.5","https://www.yelp.com/biz/angies-restaurant-garner?osq=Restaurants"
"umcoffee.com","51 Technology DrSte EGarner, NC 27529","Coffee & Tea,                    Breakfast & Brunch,                    Sandwiches","Ugly Mug Bean and Brew",,,,"Under $10","(919) 916-5277","4.5","https://www.yelp.com/biz/ugly-mug-bean-and-brew-garner?osq=Restaurants"
"moonrunnerssaloon.com","1506 US Hwy 70 WGarner, NC 27529","Southern","Moon Runners Saloon",,,,"$11-30","(919) 662-5119","4.0","https://www.yelp.com/biz/moon-runners-saloon-garner?osq=Restaurants"
"bicycleburger.wordpress.com",,"Food Trucks,                    Burgers,                    Vegetarian","Bicycle Burger",,,,"$11-30","(984) 444-8279","5.0","https://www.yelp.com/biz/bicycle-burger-greensboro?osq=Restaurants"
,"2634 Timber DrGarner, NC 27529","Thai,                    Sushi Bars","Sakura 8","Pad Thai*",,,"Under $10","(984) 233-5100","4.0","https://www.yelp.com/biz/sakura-8-garner?osq=Restaurants"
,"130 Commerce PkwyGarner, NC 27529","Mexican","Fiorentine Cafe",,,,"Under $10","(919) 773-3774","5.0","https://www.yelp.com/biz/fiorentine-cafe-garner?osq=Restaurants"
